experiment_name,question_id,question,temperature,top_k,prompt_style,prompt_label,retrieved_clauses,answer,similarity_scores
exp01,q11,What is the role of external examiners in progression and award?,0.2,3,strict,A,;;13.16,"Answer:  
The role of external examiners, specifically the Chief External Examiners, in the Progression and Award Boards is to ensure the fair and equitable application of the University's regulations on credit accumulation and the course-specific regulations for each award. They are involved in decisions regarding the award of qualifications to students, including decisions on progression, classification of awards, and exclusions. However, they are not to provide assessment judgments in individual cases or act as additional markers. Chief External Examiners participate in all activities of the Progression and Award Boards, including the awarding of intermediate awards.

Supporting Regulation:  
Clause 13.16 | Part 4 | Section 13

Additional Notes:  
The handbook does not provide further details on the role of external examiners beyond what is stated in Clause 13.16.

Confidence:  
High",0.9675;0.9132;0.9131
exp01,q12,How does the University treat plagiarism and academic misconduct penalties?,0.2,3,strict,A,;10.55;10.41,"Answer:  
The University treats plagiarism and academic misconduct through a structured process that involves an Academic Misconduct Meeting. The outcomes of this meeting can include:  
a) No case to answer, allowing the work to be marked normally;  
b) A determination that the work reflects poor scholarship but does not constitute academic misconduct, leading to normal marking;  
c) Confirmation of academic misconduct with the original penalty upheld;  
d) A reduced penalty due to mitigating factors;  
e) A more severe penalty based on the misconduct, not exceeding Category 1 penalties; or  
f) A reassessment of the seriousness of the misconduct based on new evidence.

Supporting Regulation:  
Clause 10.55 outlines the possible outcomes of an Academic Misconduct Meeting, while Clause 10.41 defines plagiarism and the expectations for original work and proper citation.

Additional Notes:  
The handbook does not provide specific details on the exact penalties or the process for determining mitigating factors. 

Confidence:  
High, as the answer directly references specific clauses related to academic misconduct and plagiarism.",0.8562;0.8560;0.8494
exp01,q13,Can students get an extension for coursework deadlines?,0.2,3,strict,A,11.6;11.19;11.50,"Answer:  
Yes, students can get an extension for coursework deadlines. An extension allows a student an additional five working days beyond the published due date to submit the assessment component without penalty (Clause 11.6). Additionally, students with a disability who have agreed Reasonable Adjustments that include an extension are not required to submit a mitigating circumstance claim for such extensions (Clause 11.19). If a mitigating circumstance claim for an extension is accepted, the student must submit the coursework no later than five working days after the original due date (Clause 11.50).

Supporting Regulation:  
Clause 11.6, Clause 11.19, Clause 11.50

Additional Notes:  
None.

Confidence:  
High",0.8898;0.8783;0.8717
exp01,q14,What rules apply to deferring an assessment?,0.2,3,strict,A,;11.58;11.60,"Answer:  
The rules that apply to deferring an assessment include the acceptance of a mitigating circumstance claim, which allows a student to be deferred in one or more identified assessment components. If the deferral occurs during Assessment Period 2, the student is typically required to take the assessments without attendance during Assessment Period 3 (the Referral/Deferral period). If the deferral occurs during Assessment Period 3, the student is usually required to take the assessments for that module without attendance in the following academic year. Conversely, if a deferral claim is rejected and the student has not submitted the coursework or attended the scheduled assessment, a mark of 0 (zero) will be awarded for those assessments.

Supporting Regulation:  
Clause 11.58 and Clause 11.60

Additional Notes:  
The handbook does not provide additional details beyond what is stated in the relevant clauses regarding the process or criteria for deferring assessments. 

Confidence:  
High",0.8691;0.8529;0.8518
exp01,q15,What reasonable adjustments can disabled students receive for assessments?,0.2,3,strict,A,11.19;8.7;11.20,"Answer:  
Disabled students can receive reasonable adjustments for assessments, which may include extensions to coursework submission deadlines. If these adjustments are agreed upon, students are not required to submit a mitigating circumstance claim for such extensions. Additionally, students may apply for further extensions or deferrals through the Mitigating Circumstances process if certain conditions are met, such as the university being unable to provide all the support detailed in the Learning Support Entitlements.

Supporting Regulation:  
- Clause 11.19: ""Students with a disability for whom agreed Reasonable Adjustments are in place, and which include an extension to coursework submission deadlines, are not required to submit a mitigating circumstance claim in respect of such extensions.""  
- Clause 11.20: ""Students with a disability for whom agreed Reasonable Adjustments are in place may apply for an additional extension or a deferral via the Mitigating Circumstances process where: a) the University has been unable to provide all the support detailed in the Learning Support Entitlements...""

Additional Notes:  
Clause 8.7 mentions the availability of the Reasonable Adjustment Form but does not specify the types of adjustments that can be made. The handbook does not provide further details on other specific reasonable adjustments beyond those mentioned in clauses 11.19 and 11.20.

Confidence:  
High, as the answer directly references specific clauses that address reasonable adjustments for disabled students.",0.8711;0.8711;0.8632
exp01,q16,How are provisional results and late submission penalties applied before boards?,0.2,3,strict,A,15.1;;6.8,"Answer: Provisional results are marks that are notified to students and are subject to change as they undergo scrutiny by an external examiner before being considered at the relevant Progression and Award Board. Additionally, provisional results may incur penalties for late coursework submission. If coursework is submitted late but within 24 hours of the deadline, a penalty of ten marks is deducted from the original mark, with a minimum mark of 40% for undergraduate and 50% for postgraduate levels.

Supporting Regulation: 
- Clause 15.1: Provisional results are subject to scrutiny and may change; they may also incur late submission penalties.
- Clause 6.8: Details the penalty for late submission of coursework.

Additional Notes: The handbook does not provide further details on how provisional results are specifically applied before boards beyond the scrutiny and potential penalties mentioned. 

Confidence: High",0.8672;0.8501;0.8437
exp01,q17,What is the relationship between the Student Charter and academic regulations?,0.2,3,strict,A,1.9;1.3;10.2,"Answer:  
The relationship between the Student Charter and academic regulations is that both documents contain valuable information relevant to students. The Student Charter is specifically mentioned as one of the documents that students should be familiar with, alongside other important handbooks and codes. However, the academic regulations themselves are subject to review and approval by the Teaching Committee and Academic Council, indicating a formal governance structure that may not directly involve the Student Charter.

Supporting Regulation:  
1.3. The following documents also contain valuable information and can be accessed online: Quality Assurance and Enhancement Handbook, Student Charter, Student Code of Conduct, University Calendar, Collaborations Handbook. It is a student’s responsibility to ensure they have read and are familiar with the university regulations.

Additional Notes:  
The handbook does not explicitly define the relationship between the Student Charter and academic regulations beyond stating that both are important for students to understand. 

Confidence:  
High",0.8442;0.8266;0.8250
exp01,q18,What attendance or participation rules apply to taught modules?,0.2,3,strict,A,;11.59;6.6,"Answer: The handbook does not explicitly outline general attendance or participation rules for taught modules. However, it does mention that if a mitigating circumstance claim for a deferral is accepted, the student must re-attend all timetabled teaching and learning events associated with the module during its next delivery (Clause 11.59). Additionally, Clause 6.6 indicates that students may be required to submit work through text matching software, and failure to comply may result in the work not being marked.

Supporting Regulation: 
- Clause 11.59 | Part 3 | Section 11
- Clause 6.6 | Part 3 | Section 6

Additional Notes: The handbook is silent on any other specific attendance or participation rules for taught modules beyond the mentioned clauses. 

Confidence: High",0.8343;0.8329;0.8236
exp02,q01,What happens if coursework is submitted within 24 hours after the deadline?,0.2,5,strict,A,6.9;;6.8;6.2;6.3,"Answer: If coursework is submitted within 24 hours after the deadline, the work will be marked, but ten marks will be deducted from the original mark, with a minimum mark of 40% at undergraduate level or 50% at postgraduate level.

Supporting Regulation: Clause 6.8

Additional Notes: The handbook does not provide additional information regarding specific circumstances or exceptions for submissions within this timeframe.

Confidence: High",0.8888;0.8614;0.8586;0.8558;0.8501
exp02,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,0.2,5,strict,A,6.8;6.9;11.56;11.50;11.53,"Answer:  
If coursework is submitted more than 24 hours late without an extension, a mark of zero will be awarded for the work in question.

Supporting Regulation:  
Clause 6.9

Additional Notes:  
The handbook does not provide any additional information regarding penalties for late submissions beyond the specified timeframe.

Confidence:  
High",0.8794;0.8736;0.8565;0.8553;0.8539
exp02,q03,How do Progression and Award Boards relate to module results and awards?,0.2,5,strict,A,;;;14.12;14.3,"Answer:  
Progression and Award Boards are responsible for overseeing all results at all levels and modes of study for the modules they consider. They ratify assessment component marks and final module marks, confirm decisions on condoned credit, and make progression and award decisions based on students' module results. They also confirm degree classifications and can recommend exclusion from courses on academic grounds.

Supporting Regulation:  
Clause 14.12 outlines the responsibilities of Progression and Award Boards, including ratifying marks, confirming progression and award decisions, and addressing academic exclusions.

Additional Notes:  
Clause 14.3 specifies that if a module is not owned by a single academic School, its results will be considered by a Module Board instead of a Progression and Award Board. This indicates that not all module results are handled by Progression and Award Boards.

Confidence:  
High, as the information is directly supported by specific clauses in the regulation excerpts.",0.9141;0.8976;0.8953;0.8883;0.8800
exp02,q04,What English language qualifications does the University accept for admission?,0.2,5,strict,A,19.28;3.11;3.10;19.16;2.26,"Answer:  
The University of Westminster accepts a variety of English language qualifications for admission, but a full list of these qualifications is available online and may change due to requirements from the Immigration and Visas Department.

Supporting Regulation:  
Clause 3.11 | Part 2 | Section 3

Additional Notes:  
The handbook does not specify the exact qualifications accepted, only that they can be found online. 

Confidence:  
High",0.8526;0.8466;0.8411;0.8403;0.8354
exp02,q05,What is Recognition of Prior Certificated Learning (RPCL)?,0.2,5,strict,A,;4.16;4.17;;,"Answer:  
Recognition of Prior Certificated Learning (RPCL) is defined as the process by which appropriate certificated learning from another institution is accredited towards a University of Westminster award. The prior certification must be provided by a recognised academic institution as a result of a rigorously assessed learning experience.

Supporting Regulation:  
Clause 4.16

Additional Notes:  
Clause 4.17 specifies that RPCL applies to certified learning that occurred prior to entry into the course of study, and modules taken outside of the course during the student's registration at the University would not normally qualify for RPCL claims.

Confidence:  
High",0.9647;0.9480;0.9374;0.9252;0.9029
exp02,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,0.2,5,strict,A,;4.32;;;4.16,"Answer:  
The Recognition of Prior Experiential Learning (RPEL) is defined as the process by which appropriate experiential learning is assessed and accredited. Experiential learning includes knowledge and skills acquired through life experience, work experience, and study that are not formally attested through any educational or professional certification. It may also encompass instruction-based learning provided by any institution that has not been examined in any public examination systems.

Supporting Regulation:  
Clause 4.32 | Part 2 | Section 4

Additional Notes:  
None.

Confidence:  
High",0.9581;0.9280;0.8986;0.8967;0.8881
exp02,q07,What are the principles of assessment in relation to intended learning outcomes?,0.2,5,strict,A,;;2.30;5.2;5.12,"Answer:  
The principles of assessment in relation to intended learning outcomes are outlined in several clauses. Assessment is designed to promote and support effective learning, enabling students to demonstrate that they have met all intended learning outcomes for each module, fulfilled the objectives of their programme of study, and achieved the academic standard required for their award (Clause 5.2). Furthermore, assessments must be robust, valid, and accurately test the students' achievement of the intended learning outcomes at both module and course levels, while also relating that achievement to the national standard of awards (Clause 5.12).

Supporting Regulation:  
- Clause 5.2  
- Clause 5.12  

Additional Notes:  
Clause 2.30 states that every approved course will have stated aims and intended learning outcomes, which the curriculum, structure, teaching and learning methods, and forms of assessment are designed to fulfil. However, it does not explicitly detail the principles of assessment.  

Confidence:  
High",0.8959;0.8946;0.8439;0.8409;0.8383
exp02,q08,What happens if a student arrives late to an examination?,0.2,5,strict,A,7.37;7.34;7.18;7.36;,"Answer:  
If a student arrives late to an examination, the invigilator will note the time of their arrival on the student attendance sheet. Students can be admitted up to 30 minutes after the start of the examination, but no extra time will be allowed for those who arrive later than the start time.

Supporting Regulation:  
Clause 7.37 states that the invigilator will note the time of arrival for late students. Clause 7.18 specifies that students can be admitted up to 30 minutes after the start of the examination and that no extra time will be allowed for late arrivals.

Additional Notes:  
The handbook does not provide further details on consequences or procedures beyond noting the arrival time and the admission policy for late students.

Confidence:  
High, as the answer is directly supported by specific clauses in the regulation excerpts.",0.8696;0.8570;0.8559;0.8544;0.8500
exp02,q09,When can a student leave the examination room during an exam?,0.2,5,strict,A,7.36;7.19;7.18;7.35;7.24,"Answer:  
A student can leave the examination room only after 30 minutes have passed since the start of the examination, and they must obtain express permission from the invigilator to do so. If a student leaves without permission, they will be deemed to have withdrawn from the examination and will not be allowed to re-enter.

Supporting Regulation:  
- Clause 7.36: ""No student will be permitted to leave the examination room (other than where accompanied by an Invigilator) until 30 minutes after the start of the examination.""  
- Clause 7.19: ""A student who wishes to temporarily leave the examination room must first obtain the express permission of the invigilator.""

Additional Notes:  
Clause 7.18 states that no student may leave the examination during the first 30 minutes or the last 15 minutes of the examination, except under exceptional circumstances instructed by an invigilator.

Confidence:  
High",0.9069;0.8905;0.8743;0.8615;0.8608
exp02,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,0.2,5,strict,A,11.43;16.29;11.16;16.67;16.64,"Answer:  
The process for mitigating circumstances involves the Mitigating Circumstances Boards, which are responsible for considering claims under the delegated authority of the relevant Progression and Award Board (Clause 11.16). However, mitigating circumstances cannot be grounds for an academic appeal following a decision by a Progression and Award Board (Clause 16.29). If a student wishes to have mitigating circumstances considered after such a decision, they must refer to the University’s Mitigating Circumstances Regulations (Section 11).

For academic appeals, the Appeal Panel will review the evidence presented based on specific grounds stated in the regulations. The Panel will either uphold the appeal and refer it back for reconsideration or reject the appeal, in which case the decision stands and no further appeals are permitted (Clause 16.64). The outcome of the appeal hearing will be communicated in writing to the student and relevant parties within 5 working days (Clause 16.67).

Supporting Regulation:  
- Clause 11.16  
- Clause 11.43  
- Clause 16.29  
- Clause 16.64  
- Clause 16.67  

Additional Notes:  
The handbook does not provide a detailed step-by-step process for submitting mitigating circumstances claims or academic appeals beyond what is stated in the relevant clauses. 

Confidence:  
High, as the answer is directly supported by specific clauses from the regulation excerpts provided.",0.8813;0.8768;0.8720;0.8718;0.8677
exp02,q11,What is the role of external examiners in progression and award?,0.2,5,strict,A,;;13.16;;,"Answer:  
The role of external examiners in progression and award is to ensure the fair and equitable application of the University's regulations on credit accumulation and the course-specific regulations for each award. They participate in decisions regarding the award of qualifications, including progression, classification of awards, and exclusions. Chief External Examiners are involved in all work of Progression and Award Boards and provide comments on the assessment process and procedures.

Supporting Regulation:  
Clause 13.16 | Part 4 | Section 13

Additional Notes:  
The handbook does not provide additional details beyond those outlined in Clause 13.16 regarding the role of external examiners in progression and award.

Confidence:  
High",0.9675;0.9132;0.9131;0.9086;0.9015
exp02,q12,How does the University treat plagiarism and academic misconduct penalties?,0.2,5,strict,A,;10.55;10.41;;10.46,"Answer:  
The University treats plagiarism and academic misconduct through a structured process that involves an Academic Misconduct Meeting. Following this meeting, the College Teaching Committee or a nominee will determine the outcome based on the evidence presented. Possible outcomes include:  
a) No case to answer, allowing normal marking;  
b) A finding of poor scholarship without constituting academic misconduct, leading to marking on its merits;  
c) Confirmation of academic misconduct with the original penalty upheld;  
d) A reduced penalty due to mitigating factors;  
e) A more severe penalty, not exceeding Category 1 penalties; or  
f) A reconsideration of the severity of the misconduct based on new evidence.

Supporting Regulation:  
Clause 10.55 outlines the outcomes of the Academic Misconduct Meeting, while Clause 10.41 defines plagiarism and the expectations for original work.

Additional Notes:  
The handbook does not specify the exact penalties or the process for determining them beyond what is mentioned in Clause 10.55. It is also silent on the specific nature of penalties categorized as Category 1.

Confidence:  
High, as the answer directly references specific clauses that address the treatment of plagiarism and academic misconduct penalties.",0.8562;0.8560;0.8494;0.8438;0.8435
exp02,q13,Can students get an extension for coursework deadlines?,0.2,5,strict,A,11.6;11.19;11.50;11.51;11.23,"Answer:  
Yes, students can get an extension for coursework deadlines. An extension allows a student an additional five working days beyond the published due date to submit the assessment component without penalty (Clause 11.6). 

Supporting Regulation:  
- Clause 11.6: ""Extension: applying only to coursework, the granting of an extension allows a student an additional five working days beyond the published due date to submit the assessment component without penalty.""  
- Clause 11.19: Students with a disability for whom agreed Reasonable Adjustments are in place, which include an extension to coursework submission deadlines, are not required to submit a mitigating circumstance claim in respect of such extensions.  
- Clause 11.50: ""Where a mitigating circumstance claim in respect of an extension to a coursework assessment is accepted, the student must submit the coursework assessment no later than five working days after the original due date.""  
- Clause 11.51: ""Where a student has not received the outcome of their claim for an extension by the due date, but the student wishes to proceed on the assumption that the claim will be accepted... the student must submit the coursework assessment no later than five working days after the original due date.""  
- Clause 11.23: ""As stated at paragraphs 11.6 above, an extension can be granted in respect of coursework only.""  

Additional Notes:  
The handbook does not specify any additional conditions or limitations regarding extensions beyond what is stated in the clauses referenced. 

Confidence:  
High",0.8898;0.8783;0.8717;0.8646;0.8645
exp02,q14,What rules apply to deferring an assessment?,0.2,5,strict,A,;11.58;11.60;;11.1,"Answer:  
Students may apply for a deferral of an assessment if they face challenges beyond their control that impair their ability to take the assessment on the scheduled date (Clause 11.1). If a mitigating circumstance claim for a deferral is accepted, the student will be deferred in the relevant assessment components, and the timing of the deferred assessment will depend on when the deferral is granted (Clause 11.58). If a claim for a deferral is rejected and the student has not submitted the coursework or attended the assessment, a mark of 0 will be awarded (Clause 11.60).

Supporting Regulation:  
- Clause 11.1  
- Clause 11.58  
- Clause 11.60  

Additional Notes:  
The handbook does not provide further details on the specific process for applying for a deferral or the criteria for acceptance or rejection of claims.  

Confidence:  
High",0.8691;0.8529;0.8518;0.8497;0.8494
exp02,q15,What reasonable adjustments can disabled students receive for assessments?,0.2,5,strict,A,11.19;8.7;11.20;8.5;,"Answer:  
Disabled students can receive reasonable adjustments for assessments, which may include extensions to coursework submission deadlines. These adjustments are agreed upon and documented through a Reasonable Adjustment Form. Students with agreed adjustments are not required to submit a mitigating circumstance claim for extensions related to these adjustments. Additionally, if the University is unable to provide all the support outlined in the Learning Support Entitlements, students may apply for further extensions or deferrals through the Mitigating Circumstances process.

Supporting Regulation:  
- Clause 11.19: ""Students with a disability for whom agreed Reasonable Adjustments are in place, and which include an extension to coursework submission deadlines, are not required to submit a mitigating circumstance claim in respect of such extensions.""  
- Clause 11.20: ""Students with a disability for whom agreed Reasonable Adjustments are in place may apply for an additional extension or a deferral via the Mitigating Circumstances process where: a) the University has been unable to provide all the support detailed in the Learning Support Entitlements...""  
- Clause 8.5: ""Students seeking individual arrangements for assessments must do so in accordance with the procedures and deadlines determined annually by the University. The relevant Disability Advisor will determine the appropriate arrangements to be made based on the medical or diagnostic evidence submitted.""

Additional Notes:  
The handbook does not specify other types of reasonable adjustments beyond those mentioned in the clauses referenced. It is silent on additional specific adjustments that may be available. 

Confidence:  
High. The answer is directly supported by the relevant clauses in the regulation excerpts provided.",0.8711;0.8711;0.8632;0.8554;0.8432
exp02,q16,How are provisional results and late submission penalties applied before boards?,0.2,5,strict,A,15.1;;6.8;;15.8,"Answer: Provisional results are marks notified to students that are subject to change and are recorded following internal moderation. They are scrutinized by an external examiner before being considered at the relevant Progression and Award Board. Additionally, provisional results may incur penalties for late coursework submission. If coursework is submitted late but within 24 hours of the deadline, a penalty of ten marks will be deducted from the original mark, with a minimum mark set at the pass mark (40% for undergraduate and 50% for postgraduate levels).

Supporting Regulation: Clause 15.1, Clause 6.8, Clause 15.8

Additional Notes: The handbook does not specify how late submission penalties are applied specifically before boards beyond stating that provisional results may incur such penalties. 

Confidence: High",0.8672;0.8501;0.8437;0.8434;0.8353
exp02,q17,What is the relationship between the Student Charter and academic regulations?,0.2,5,strict,A,1.9;1.3;10.2;10.10;10.23,"Answer:  
The relationship between the Student Charter and academic regulations is that both documents contain valuable information relevant to students. The Student Charter is specifically mentioned as one of the documents that students should be familiar with, alongside other regulatory documents. However, the academic regulations themselves are distinct and are subject to review and approval by the Teaching Committee and Academic Council.

Supporting Regulation:  
1.3. The following documents also contain valuable information and can be accessed online: Quality Assurance and Enhancement Handbook, Student Charter, Student Code of Conduct, University Calendar, Collaborations Handbook. It is a student’s responsibility to ensure they have read and are familiar with the university regulations.

Additional Notes:  
The handbook does not explicitly detail the specific relationship between the Student Charter and academic regulations beyond their mention as important documents for students. 

Confidence:  
High",0.8442;0.8266;0.8250;0.8228;0.8208
exp02,q18,What attendance or participation rules apply to taught modules?,0.2,5,strict,A,;11.59;6.6;;5.18,"Answer:  
The attendance or participation rules for taught modules are not explicitly detailed in the provided excerpts. However, Clause 11.59 indicates that if a student is deferred in a whole module due to accepted mitigating circumstances, they will be required to attend all timetabled teaching and learning events associated with the next delivery of that module. This suggests that attendance is mandatory in such cases.

Supporting Regulation:  
Clause 11.59 | Part 3 | Section 11

Additional Notes:  
The handbook does not provide further specific attendance or participation rules for taught modules outside of the context of deferrals. 

Confidence:  
High, based on the direct reference to attendance requirements in the context of deferrals.",0.8343;0.8329;0.8236;0.8235;0.8199
exp03,q01,What happens if coursework is submitted within 24 hours after the deadline?,0.5,5,strict,A,6.9;;6.8;6.2;6.3,"Answer: If coursework is submitted within 24 hours after the deadline, the work will be marked, and ten marks will be deducted from the original mark, with a minimum mark of 40% at undergraduate level or 50% at postgraduate level.

Supporting Regulation: Clause 6.8

Additional Notes: None

Confidence: High",0.8888;0.8614;0.8586;0.8558;0.8501
exp03,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,0.5,5,strict,A,6.8;6.9;11.56;11.50;11.53,"Answer:  
If coursework is submitted more than 24 hours late without an extension, a mark of zero will be awarded for the work in question.

Supporting Regulation:  
Clause 6.9 states, ""If students submit coursework more than 24 hours after the specified deadline, a mark of zero will be awarded for the work in question.""

Additional Notes:  
The regulations do not provide any alternative penalties or considerations for submissions more than 24 hours late without an extension. 

Confidence:  
High, as the information directly references Clause 6.9.",0.8794;0.8736;0.8565;0.8553;0.8539
exp03,q03,How do Progression and Award Boards relate to module results and awards?,0.5,5,strict,A,;;;14.12;14.3,"Answer:
Progression and Award Boards are responsible for overseeing all results at all levels and modes of study for the modules they consider. They ratify assessment component marks and final module marks, confirm decisions on condoned credit, and make progression and award decisions based on students' module results. Additionally, they can confirm degree classifications and the award of merit or distinction. If a module is not owned by a single academic School, its results will be considered by a Module Board instead, which confirms student module marks and results.

Supporting Regulation:
- Clause 14.12 outlines the responsibilities of Progression and Award Boards, including ratifying marks and confirming progression and award decisions.
- Clause 14.3 specifies that if a module is not owned by a single academic School, its results will be handled by a Module Board, which operates separately from the Progression and Award Board.

Additional Notes:
The handbook does not provide further details on the specific relationship between module results and awards beyond what is stated in the relevant clauses.

Confidence:
High",0.9141;0.8976;0.8953;0.8883;0.8800
exp03,q04,What English language qualifications does the University accept for admission?,0.5,5,strict,A,19.28;3.11;3.10;19.16;2.26,"Answer:  
The University of Westminster accepts various English language qualifications for admission, but a full list of these qualifications is available online and may change according to the Immigration and Visas Department requirements.

Supporting Regulation:  
Clause 3.11 | Part 2 | Section 3

Additional Notes:  
Clause 19.28 indicates that there are standard entry requirements for English language qualifications, but does not specify which qualifications are accepted. Clause 3.10 emphasizes the need for sufficient command of the language in which the course is taught, but does not detail specific qualifications.

Confidence:  
High",0.8526;0.8466;0.8411;0.8403;0.8354
